Coluna1;Column7;Column8;Column9;Column18
Name;Website;Filename;OriginalFileName;InstallationPaths
TightVNC;;;;tvnviewer.exe, TightVNCViewerPortable*.exe, tvnserver.exe
Pilixo;;;;rdp.exe, Pilixo_Installer*.exe
SimpleHelp;https://simple-help.com/;;;simplehelpcustomer.exe, simpleservice.exe, simplegatewayservice.exe, remote access.exe, windowslauncher.exe, spsrv.exe, serviceconfig.xml
Domotz;;;;domotz.exe, Domotz Pro Desktop App.exe, domotz_bash.exe, domotz*.exe, Domotz Pro Desktop App Setup*.exe, domotz-windows*.exe
Chicken (of the VNC);;;;
Fortra;;;;
Manage Engine (Desktop Central);;;;dcagentservice.exe, dcagentregister.exe
Supremo;;;;supremo.exe, supremoservice.exe, supremosystem.exe, supremohelper.exe
EMCO Remote Console;;;;remoteconsole.exe
Weezo;;;;weezohttpd.exe, weezo.exe, weezo setup*.exe
Splashtop (Beta);;;;SRServer.exe, SplashtopSOS.exe, Splashtop_Streamer_Windows*.exe, SRManager.exe
Microsoft Quick Assist;;;;quickassist.exe
RemoteView;;;;remoteview.exe, rv.exe, rvagent.exe, rvagtray.exe
SuperOps;;;;superopsticket.exe, superops.exe
AweRay;;;;aweray_remote*.exe, AweSun.exe
AnyDesk;https://anydesk.com/en;anydesk.exe;AnyDesk.exe;C:\Program Files (x86)\AnyDesk\*, C:\Program Files\AnyDesk\*, /Applications/AnyDesk.app
RAdmin;https://www.radmin.com/;RServer3.exe;RServer3.exe;C:\Program Files (x86)\Radmin Viewer 3\Radmin.exe, C:\Windows\SysWOW64\rserver30\rserver3.exe, C:\Windows\SysWOW64\rserver30\FamItrfc, C:\Windows\SysWOW64\rserver30\FamItrf2
RuDesktop;;;;rd.exe, rudesktop*.exe
Ultra VNC;;;;C:\Program Files\uvnc bvba\UltraVNC\*, *\uvnc bvba\UltraVNC\*, *\UVNC_Launch.exe, *\winvnc.exe, *\vncviewer.exe
CrossLoop;;;;crossloopservice.exe, CrossLoopConnect.exe, WinVNCStub.exe
Senso.cloud;;;;SensoClient.exe, SensoService.exe, aadg.exe
MioNet (Also known as WD Anywhere Access);;;;mionet.exe, mionetmanager.exe
Laplink Gold;;;;tsircusr.exe, laplink.exe
Kabuto;;;;Kabuto.App.Runner.exe
Yandex.Disk;;;;C:\Program Files (x86)\Yandex\*, *\Yandex\*, *\YandexDisk2.exe
HopToDesk;https://www.hoptodesk.com/;;;hoptodesk.exe, C:\Program Files (x86)\HopToDesk\*, /Applications/HopToDesk.app
NetSupport Manager;;;;pcictlui.exe, pcicfgui.exe, client32.exe
Instant Housecall;;;;hsloader.exe, ihcserver.exe, instanthousecall.exe, instanthousecall.exe
HelpBeam;;;;helpbeam*.exe
ITSupport247 (ConnectWise);;;;saazapsc.exe
GoToAssist (GoTo Resolve);;;;C:\ProgramFiles*\GoTo Machine Installer\*, *\GoTo Machine Installer\*, *\GoTo\*
Pocket Cloud (Wyse);;;;pocketcloud*.exe, pocketcloudservice.exe
GatherPlace-desktop sharing;;;;gp3.exe, gp4.exe, gp5.exe
GetScreen;;;;GetScreen.exe, getscreen.exe
ManageEngine RMM Central;;;;
Basecamp;;;;
Netreo;;;;
Addigy;;;;addigy-*.pkg
Zabbix Agent;;;;zabbix_agent*.exe
