Nome,ProcessName
TightVNC,"tvnserver.exe, tvnviewer.exe"
Pilixo,
SimpleHelp,
Domotz,
Chicken (of the VNC),
Fortra,
Supremo,Supremo.exe
EMCO Remote Console,
Weezo,Weezo.exe
Splashtop (Beta),"SplashtopStreamer.exe, SRService.exe"
Microsoft Quick Assist,QuickAssist.exe
RemoteView,
SuperOps,
AweRay,AweSun.exe
AnyDesk,AnyDesk.exe
RAdmin,"r_server.exe, radmin.exe"
RuDesktop,
Ultra VNC,winvnc.exe
CrossLoop,CrossLoop.exe
Senso.cloud,
MioNet (Also known as WD Anywhere Access),MioNet.exe
Laplink Gold,Laplink.exe
Kabuto,
Yandex.Disk,YandexDisk.exe
HopToDesk,
NetSupport Manager,client32.exe
Instant Housecall,
HelpBeam,
ITSupport247 (ConnectWise),
GoToAssist (GoTo Resolve),gotoopener.exe
Pocket Cloud (Wyse),
GatherPlace-desktop sharing,
GetScreen,getscreen.exe
ManageEngine RMM Central,
Basecamp,
Netreo,
Addigy,
Devolutions Remote Desktop Manager,RemoteDesktopManager.exe
PuTTY Tray,"putty.exe, puttytray.exe"
KickIdler,kickidler.exe
LabTech RMM (Now ConnectWise Automate),"LTService.exe, LTSvcMon.exe"
MSP360,RemoteAssistant.exe
Itarian,
Goverlan,
RPort,rport.exe
NinjaRMM,NinjaRMMAgent.exe
Microsoft RDP,mstsc.exe
LogMeIn rescue,"LMIRun.exe, LMIGuardianSvc.exe"
TeamViewer,"TeamViewer.exe, TeamViewer_Service.exe, TeamViewer_Desktop.exe"
XRDP,xrdp
FleetDeck.io,
Remote Desktop Manager (Devolutions),RemoteDesktopManager.exe
Xshell,Xshell.exe
mRemoteNG,mRemoteNG.exe
MyGreenPC,MyGreenPC.exe
MultCloud,
TurboMeeting,TurboMeeting.exe
SmartFTP,SmartFTP.exe
SkyFex,SkyFex.exe
eHorus,ehorus_agent.exe
Netop Remote Control (aka Impero Connect),
ScreenMeet,
Naverisk,
ConnectWise,
FreeNX,
KiTTY,kitty.exe
DragonDisk,dragondisk.exe
Pocket Controller,PocketController.exe
Remmina,remmina
Neturo,
Electric AI (Kaseya),
GoToAssist Agent Desktop Console,
Syspectr,
Parallels Access,ParallelsAccess.exe
BeyondTrust (Bomgar),bomgar-scc.exe
Kaseya (VSA),AgentMon.exe
ServerEye,
pcAnywhere,"awhost32.exe, winaw32.exe"
NoMachine,"nxplayer.exe, nxservice.exe"
DeskDay,
S3 Browser,s3browser.exe
Comodo RMM,
Tactical RMM,meshagent.exe
Bitvise SSH Server,BvSshServer.exe
DW Service,dwagent.exe
TigerVNC,"vncviewer.exe, Xvnc.exe"
SmartCode Web VNC,
RDPView,
Visual Studio Dev Tunnel,devtunnel.exe
Impero Connect,
KHelpDesk,
IntelliAdmin Remote Control,
Any Support,
MEGAsync,MEGAsync.exe
Instant Housecall,
Rocket Remote Desktop,
Level,
Chrome SSH Extension,
Guacamole,guacd
Iperius Remote,"IperiusRemote.exe, IperiusRemoteService.exe"
Remcos,remcos.exe
ISL Online,"isl_light.exe, isl_alwayson.exe"
N-Able Advanced Monitoring Agent,
NordLocker,NordLocker.exe
Ammyy Admin,"AA_v3.exe, ammyy_admin.exe"
Sorillus,
Pandora RC (eHorus),
JollysFastVNC,
I'm InTouch,
Parsec,"parsec.exe, parsecd.exe"
MyIVO,
UltraViewer,UltraViewer.exe
Auvik,
Terminals,Terminals.exe
RemotePC,"RemotePCService.exe, RemotePCHost.exe"
SimpleHelp,
ScreenConnect,"ScreenConnect.Service.exe, ScreenConnect.ClientService.exe, ScreenConnect.WindowsClient.exe"
RealVNC,"vncserver.exe, vncserverui.exe, vncviewer.exe"
MeshCentral,meshagent.exe
Remote Desktop Plus,RemoteDesktopPlus.exe
CloudFlare Tunnel,cloudflared.exe
ManageEngine,
Free Ping Tool,PingTool.exe
Remote Manipulator System,"rutserv.exe, rutview.exe"
Syncthing,syncthing.exe
Laplink Everywhere,
Royal Server,RoyalServer.exe
Quick Assist,QuickAssist.exe
ITSupport247 (ConnectWise),
247ithelp.com (ConnectWise),
ZeroTier,zerotier-one_x64.exe
RemoteCall,rcviewer.exe
Royal TS,RoyalTS.exe
Netviewer (GoToMeet),Netviewer.exe
